"4","Честно говоря так и не понял на сколько стоящая это штука, сначала прикрепил, реально очень крепко держит планшет на приборной панели, но проблема в том что довольно быстро садится пыл и сразу хуже начинает держать. Пришлось убрать в бардачек что бы не пылилась. Пользуюсь только в дальней дороге.."
"5","Надо больше размеры."
"4","Отличная вещ, если поверхность на которую собираетесь клеить, гладкая, не матовая"
"4","Достаточно полезная вещица. Купил себе и на подарок. Не жалею."
"5","Гарно чіпляється та добре тримає"
"5","Свои функции выполняет на 100%, качество со временем не падает"
"4","Честно говоря так и не понял на сколько стоящая это штука, сначала прикрепил, реально очень крепко держит планшет на приборной панели, но проблема в том что довольно быстро садится пыл и сразу хуже начинает держать. Пришлось убрать в бардачек что бы не пылилась. Пользуюсь только в дальней дороге.."
"5","Надо больше размеры."
"4","Отличная вещ, если поверхность на которую собираетесь клеить, гладкая, не матовая"
"4","Достаточно полезная вещица. Купил себе и на подарок. Не жалею."
"5","Гарно чіпляється та добре тримає"
"5","Свои функции выполняет на 100%, качество со временем не падает"
"5","Хорошая штука ложил почти все от навигатора до мобилки держит замечательно."
"5","После этого коврика пробовал несколько вариантов, которые стоили дешевле. Но к сожалению ""работали"" около месяца - двух...не более!!!"
"4","Покупкой доволен !!! И ценой !"
"5","Прикольная штука, приобретайте не пожалеете!"
"5","приємна і потрібна річ. причіпав телефон і навігатор тримає добре. Бачив в іншому магазині килимок точно такої ж форми тільки без напису EasyGo ціна 39 грн., але от наскільки він липкий попробувати небуло можливості"
"5","за такую цену отлично! прослужил этот коврик не мало!"
"3","Полезный девайс не только в машине."
"3","купив собі було все класно,протирав панель і протер ту єрунду і перистало тримати"
"5","Полезный аксессуар. Из разряда must have в каждом авто. Видеоролик по слову ""автоковрик"" на ютубе."
"5","Навигатор и телефон реально держит. Там кто то спрашивал - можно ли переклеить - можно. Из одного места в другое спокойно."
"5","Очень нужный и удобный прибамбас в авто, как оказалось. Подумываю о втором. Достался в подарок с навигатором easygo"
