"5","Це мій перший навігатор. Дуже задоволений тим що може надати цей пристрій для водія: вчасно показує якої сторони триматись, точно вказує про повороти, знаки. Всім водіям раджу придбати як мінімум продукцію даного бренда, як максимум - дорогі навігатори Garmin (в них напевне ще більше корисних функцій)."
"4","простой.надежный.за эти деньги лучший выбор."
"5","Скажіть будь- ласка чи є положeння вантажівки？"
"4","Подскажите пожалуйста можно ли будет установить IGO ?"
"5","Товар отличный , заработал сразу , не "" тормозит"" . Меню лёгкое , если чуть- чуть спокойно над ним подумать . Рекомендую ."
"5","Це мій перший навігатор. Дуже задоволений тим що може надати цей пристрій для водія: вчасно показує якої сторони триматись, точно вказує про повороти, знаки. Всім водіям раджу придбати як мінімум продукцію даного бренда, як максимум - дорогі навігатори Garmin (в них напевне ще більше корисних функцій)."
"4","простой.надежный.за эти деньги лучший выбор."
"5","Скажіть будь- ласка чи є положeння вантажівки？"
"4","Подскажите пожалуйста можно ли будет установить IGO ?"
"5","Товар отличный , заработал сразу , не "" тормозит"" . Меню лёгкое , если чуть- чуть спокойно над ним подумать . Рекомендую ."
"4","З рештою все добре"
"3","Для подключения к компьютеру необходим кабель mini usb. Производитель забыл его положить?"
"5","Все добре в принципі. Легко і просто"
"4","Все гуд!!!)))"
