"4","Брала мужу на подарок. По городу показывает более менее точно. Разрешение экрана оставляет желать лучшего. Но за такие деньги качество приемлемое. Описание точное."
"5","пока навигатором доволен.В первый же день ездил за 200 км от дома в незнакомый город. Ввел в gps название улицы и номер дома и он завел меня точно под самую дверь. Рекомендую к покупке."
"5","Классическая форма и дизайн, надежная работа, простота управления. Обычному водилю то что надо, без лишних понтов."
"5","Простенький, без свистелок всяких, но дело свое знает на отлично. Быстро ловит спутники, прокладывает правильные маршруты. Корпус собран прочно, стиль и цвет классический. Так что вопросов по нему нет, реально стоящая вещь."
"5","Основное преимущество у этого аппарата, на мой взгляд, это надежность. Сколько с ним не катаюсь - ни разу не подвел и не заглючил. Дорогу показывает правильно. Кстати, на него довольно легко устанавливаются сразу несколько программ навигации, и если одна не правильно показывает карту, то всегда выручит другая."
"5","Простой в управлении и надежный аппарат, который еще ни разу меня не подвел, всегда выводил в нужное место, несмотря на то что я катаюсь не только по городу, но и в другие области. Вообщем претензий нет, сейчас без него как без рук."
"4","Брала мужу на подарок. По городу показывает более менее точно. Разрешение экрана оставляет желать лучшего. Но за такие деньги качество приемлемое. Описание точное."
"5","пока навигатором доволен.В первый же день ездил за 200 км от дома в незнакомый город. Ввел в gps название улицы и номер дома и он завел меня точно под самую дверь. Рекомендую к покупке."
"5","Классическая форма и дизайн, надежная работа, простота управления. Обычному водилю то что надо, без лишних понтов."
"5","Простенький, без свистелок всяких, но дело свое знает на отлично. Быстро ловит спутники, прокладывает правильные маршруты. Корпус собран прочно, стиль и цвет классический. Так что вопросов по нему нет, реально стоящая вещь."
"5","Основное преимущество у этого аппарата, на мой взгляд, это надежность. Сколько с ним не катаюсь - ни разу не подвел и не заглючил. Дорогу показывает правильно. Кстати, на него довольно легко устанавливаются сразу несколько программ навигации, и если одна не правильно показывает карту, то всегда выручит другая."
"5","Простой в управлении и надежный аппарат, который еще ни разу меня не подвел, всегда выводил в нужное место, несмотря на то что я катаюсь не только по городу, но и в другие области. Вообщем претензий нет, сейчас без него как без рук."
"5","Купил пол года назад в розетке, доставили вовремя, все отлично. Очень порадовало то что стартует он моментально и ждать ничего не нужно, быстро прокладывает маршрут (оперативки хватает), не лагает и не дергается при движении, знает все улочки. Может повести вас по какой-то левой дороге но не критично. Ловит соединение со спутниками даже в поле и деревне в которой и связь не ловит, если вдруг потеряетесь в поле то он вас выведет."
"5","Пользуюсь 50-м уже аж три дня:))) Покупал тут, на Розетке. Сделал заказ поздно вечером после 22 часов, на следующее утро перезвонил менеджер, всё разъяснил и на третий день навигатор уже у меня дома. Всё четко и быстро."
"5","C мультимедиа все в порядке, просто нужно иметь нормальные руки (не кривые) и голову на плечах. В целом отлично справляется, со всем, будь то длиный маршрут или фильм. Можно брать,тем более по такой привлекательной цене."
"4","Работал сутки без перерыва - спасибо что живой"
"4","Неплох навик, особенно порадовало наличие внутренней памяти - явно не лишне )))))"
"4","Хороший навигатор на чипе мтк, очень хорошо ловит спутники, с навителом работает и производитель не забывает выпускать обновления под эту модель. Удобен так же наличием встроенной памяти. советую."
"4","Очень хороший приём. На улице или в машине очень быстро находит спутники (20-30 секунд, холодный старт), в зданиях подольше. Возможность установит всё что угодно (программы навигации, альтернативные меню, игры и многое другое)."
"4","Отличный аппарат. Соотношение цена/качество. Качества больше."
