"1","Не советую поработал чуть больше месяца"
"4","Он пробки показывает?"
"4","Скажите, интересуют пробки, он их показывает?"
"5","Достойно работает с картами, знает адреса, всё быстро и доступно, отличный навик."
"5","Навигатор - огонь. Карты рисует отменные, маршруты прокладывает куда надо, все основные функции есть. Вообщем аппарат что надо, каждому в машину по такому, водители бы не такие нервные были бы."
"4","Мой первый навигатор, особых нареканий нет. Карты Libelle не очень, часто бывают глюки, ведет непонятно по какому."
"1","Не советую поработал чуть больше месяца"
"4","Он пробки показывает?"
"4","Скажите, интересуют пробки, он их показывает?"
"5","Достойно работает с картами, знает адреса, всё быстро и доступно, отличный навик."
"5","Навигатор - огонь. Карты рисует отменные, маршруты прокладывает куда надо, все основные функции есть. Вообщем аппарат что надо, каждому в машину по такому, водители бы не такие нервные были бы."
"4","Мой первый навигатор, особых нареканий нет. Карты Libelle не очень, часто бывают глюки, ведет непонятно по какому."
"1","жалкое и убогое устройство."
"5","Хороший нормальный навик. Поначалу конечно стоит привыкнуть. Все что нужно для работы него есть. Очень удобно через блютуз к мобиле выходить в интернет. Ничего не надо прописывать и т.п. Карту прорисовывает быстро. Хорошо ловит спутники."
"5","Добротная, качественная сборка, без люфтов и скрипов. В работе зарекомендовал себя хорошо, разобрался довольно быстро. Предустановленные карты отличаются скоростью работы и детализацией. Отлично!"
"4","Это мой первый навигатор но не чего плохого сказать не могу спутник ловит быстро, видео читает нормально почти не тупит. Единственное подтупливает Bloetoothминогда надо перезагружать устройство но как HAND FREE работает отлично. И еще слабоватый AV IN вход. Пару раз вкл/выкл штекер и кнездо раздалбывается."
"5","Если берете для себя, то стоит обратить внимание на 50С, в нем есть все необходимое для комфортной навигации. Если доплатить еще немного то можно уже и 50G взять, разница только в разрешении экрана."
"5","Я так понял что отличие от 50G только в экране, подскажите есть ли смысл в большом разрешении, мне ж не фильмы на нем смотреть, хотя можно."
