"4","Можно ли обновлять карту по блютузу со смартфона от мобильного интернета???"
"4","если нет денег больше, берите. Деньги на ветер не выбросите))"
"5","Покупали год назад на розетке в подарок парню - теперь не разлучается с навигатором ни на день) Хорошее качество, удобный в дороге, улицы и обьекты видит все, есть поиск по координатам с высокой точностью. Радует большой дисплей и дизайн. НО невозможно пользоватся несколькими функциями одновмеренно - или навигация или фотки/музыка вот-такто. Не разобрались как подключить телефон по блютусу (требует вроде мобильного интернета). А в целом лучшего варианта за доступную цену не найти."
"3","Карты Libelle отстой пришлось поставить IGo 8"
"4","Можно ли обновлять карту по блютузу со смартфона от мобильного интернета???"
"4","если нет денег больше, берите. Деньги на ветер не выбросите))"
"5","Покупали год назад на розетке в подарок парню - теперь не разлучается с навигатором ни на день) Хорошее качество, удобный в дороге, улицы и обьекты видит все, есть поиск по координатам с высокой точностью. Радует большой дисплей и дизайн. НО невозможно пользоватся несколькими функциями одновмеренно - или навигация или фотки/музыка вот-такто. Не разобрались как подключить телефон по блютусу (требует вроде мобильного интернета). А в целом лучшего варианта за доступную цену не найти."
"3","Карты Libelle отстой пришлось поставить IGo 8"
"4","В основном нареканий не вызывал, поморочился только вначале, когда спутники искал"
"4","За свою цену нормальный навигатор"
"5","Годный аппарат и карты нормальные уже установлены. Никакого головняка, всё работает нормально сразу из коробки, ничего шаманить больше не надо. Покупкой доволен, дорогу показывае и рассказывает правильно."
"5","Показывает дорогу куда нужно, быстро прокладывает маршрут, ведет и голосом и по карте. Держиться на стекле крепко, есть пару полезных дополнительных функций. Вообщем прибор что надо!"
"5","Корпус с металической вставкой выглядит очень солидно, карты выполнены на высоком уровне, на сайте карт есть все инструкции. Если захотеть, то с навигатором можно разобваться за пару часов (вообще со всеми функциями) и это включая установку в автомобиль и поиск спутников. В первый раз спутники искал минут 5 (холодный старт). Потом из машины за полминуты всё находит. Вещь очень полезная!"
"5","Разрешение дисплея - на высоте, диагональ как раз такая, что всё видно и обзору не мешает. В ланосе поставил его по сентру ветрового стекла, ближе к низу и просто повернуть экран на себя. Как по мне, наилучшее место. По-поводу карт проблем нет, они подробные, с номерами домов и даже есть дома, которые с буквами."
"5","Притный на вид, на ощупь, приятный в управлении и использовании. Голосовые подсказки на месте, да и вовремя появляются. Общее впечатление от аппарата - отличное. Конечно, хотелось бы чтобы батарея держаа чуть дольше, чтобы использовать его и вне автомобиля как туристический, в остальном вопросов нет."
"5","Дисплей нормальный и сама навигация точная. В первый раз нашел меня на карте за 5 минут, потом вообще до минуты ищет, мое местоположения показывает и уже от него я могу построить маршрут куда надо. Еще порадовало, что карты других стран я теперь могу бесплатно с их офсайта качать."
"5","Классный экран, классная навигация, стильный и прочный корпус, всё на высшем уровне, цену свою оправдывает."
"5","Вещь Достойная при той цене!!!!!"
"4","Из всех навигаторов что были - сама адекватная работа сенсорного экрана, несмотря на то что он резистивный. Звук, даже не максимуме не скрипит, что приятно радует."
"3","Не рекомендую"
"3","Купил этот GPS где то месяца 2 назад,первую неделю работал отлично,а последнее время глючит сам выключаеся.Просто ужас!"
"1","Проработал 1год и 1 месяц и умер не знаю от чего. Последний раз завис. Выключить не смог. так и лежал. Гарантия была на 1 год. теперь только выкинуть)"
"1","Добрый день! стал ""счастливым"" обладателем данной модели... буду краток, так как пишу на эмоциях... срок службы 3 недели!!! 1 неделя все нормально, 2 неделя подвисание, 3 неделя сплошные перезагрузки, и просто белый экран.. все... + введет по маршруту не различая знаков (на кирпич, кратчайший путь введет по кругу.. это меня вообще возмутило!.. выберал эту модель по отзывам, думал что реально хороший навигатор, но теперь понимаю что сэкономив несколько грн. теперь буду ждать 2 недели в сер. центре и кто знает как он себя покажет дальше.. Я разочарован.. жаль...."
"4","Подскажите как активировать карты мира на этом GPS? Заранее спасибо."
"3","Общее впечатление хорошее. Спутники находит быстро.Время от включения устройства и до прокладки маршрута не более 5 минут. Карты нужно закачивать дополнительно. С магазина шла только карта украины. Но здесь трудностей не возникло. Иногда спутники при подъезде к крупным городам збивались. При прокладке маршрута по програме ""КОРОТКО"" практически всегда ведет по грунтовым дорогам, лучше выбирать ""БЫСТРО"". Единственное что не понравилось - то,что экран часто отсвечивает и в городе возникают проблемы с отвлечением внимания на распознавание маршрута."
"5","Купил этот навигатор,пользуюсь месяц,Отлично всё работает всё обновляется и ничего не тормозит."
"5","Як навігатор супер! Музика звучить нормально,а фільми підторможують дивитися важко. В загальному варто взяти."
"4","Хороший апарат, тим більше за такі гроші. Кріплення дуже надійне, як сама присоска, так і пластмаса з якої зроблене кріплення. Сам девайс також на хорошому рівні. Карти які вже встановленні попередньо на ньому, від Libelle, дуже детальні, вплоть до відображення світлофорів, стежок та ліній електромереж. На пристрій можна закинути і навігаційну програму Navitel, чи ,будь яку іншу, яка працює на ОС Windows CE 6.0-6.5"
"4","Пока ездил только по своему городу. он небольшой. но всегда ведет в некотрых местах не правильно. например прокладывает маршрут по грунтовой, даже если я поставил обходить грунтовые. и в центре города постоянно проклажывает обезд прекрасного асфальтированного участка центральной улицы другой грунтовой улицей шириной в 3 метра которая))"
"5","Знает всё что необходимо для комфортного путешествия. Не раз пользовался поиском ближайшей АЗС или кафешки. В целом производит впечатление очень качественного устройства."
"5","Классно дорогу подсказывает - тупо правильно все. При этом когда сходишь с маршрута, то перепрокладывает по новой почти сразу же, так что не сходишь с ума, а как же дальше ?!)) Вообще и навигатор хороший, спутники очень быстро ловит, даже если не работал долгое время."
"5","Любо дорого лицезреть этот чудо навигатор в своем автомобиле. Хорошо работает - это только самая малость его преимуществ. Отличнейший экран. Мощный аккумулятор. Блютуз. Видеовход. И наконец карты компании Libelle. Все это делает работу с устройством поистине великолепной."
"5","Лучший подарок для любимого."
"5","Покупал по совету друга, и не ошибся. Могу посоветовать для тех кому нужно: отличный экран, блютуз, фмка, видеовход, и самое главное это конечно же карты, с нормальной поддержкой."
"5","Скорее всего нет лучше навигатора, чем этот. Просто столько всего получаешь за относительно небольшую цену, да еще и не просто навигацию от кого то, а самую актуальную по картам на сегодня Libelle. Для себя сделал вывод, что есть недорогие и безусловно качественные продукты от фирмы Palmann, буду теперь всем рекомендовать."
"5","Напичкан по полной, тут тебе и блютуз с возможностью выхода в интернет, и экран с высоким разрешением, и фмка, плюс карты ко всему прочему найподробнейшие на сейчас. Однозначно рекомендую к покупке."
"5","Прежде всего понравился внешний вид - хорошо подогнаны части корпуса, без зазоров. Экран хорошо рисует картинку, сразу можно оценить антиблик - полезнейшая вещь. Все остальное по мелочи но притяно что есть. Карты на пятерочку."
"5","Выбтрал что то недорогое но качествонное, что в итоге имеем: неплохой HD экран, отличная навигация от Либель, блютуз, видеовход, фм - все на борту. Хороший набор для нормальной навигации, причем достаточно недорог. Рекомендую."
