"5","На сьогоднішній день має найсильніший процесор з частотою 800мг. Сам таким користуюся і точно знаю що ви будете задоволені як і я. Всім рекомендую і не вірте тим хто пише що він завісає, завісає лише від неправельно встановлених карт."
"4","Притензий нет, ни к сборке ни к работе"
"5","На сьогоднішній день має найсильніший процесор з частотою 800мг. Сам таким користуюся і точно знаю що ви будете задоволені як і я. Всім рекомендую і не вірте тим хто пише що він завісає, завісає лише від неправельно встановлених карт."
"4","Притензий нет, ни к сборке ни к работе"
"5","Навигатор прелестный, пользуюсь боkьше года, водит по украине как мама за руку в школу )) Доволен покупкой ."
"5","Пользуюсь уже достаточно долго, серьезных нареканий не было. Хороший дисплей, управление. Временами немного подтормаживает"
"5","Катаюсь с этим навиком второй год. И по городу и за город, все отлично."
"5","За пол года работы не подводил.Спасибо производителю за качественный товар"
"5","Навигатор достаточно хороший. Экран хотелось бы немного лучше и пришлось поморочиться с картами"
"5","Взял на пробу, пока все устраивает, работает без сбоев."
"3","навигация на приличном уровне. Гармин с навителом чуть не выкинул в окно, а Палман с Либелем провел везде без проблем. Но не без недостатков."
"4","Заказывал 712 модель но не оказалось на складе взял эту. На свои деньги аппарат супер, НО ихняя тех поддержка ... . Прошивка временно не доступна, программа для обновления карт, временно не работает, и танцуй с бубном. ЦЕлый вечер убил на то чтоб закачать нужные карты России. И с сервисом я столкнулся с видеореэстратором Тенексом , это таже контора, реэстратор глючит, ничем помочь не могут , так как нет новой прошивки... Короче если работает , то хорошо и не дай Бог что нить сломаеться.... Всех с праздниками. Хороших покупок!! А Розетка молодец даже на праздники быстро доставила!!"
"5","Брал специально под поездки по Украине. Крым , Западная Украина и т. п.Ради интереса вечером решил поиграться с маршрутами по Германии. А у меня там знакомый живёт. Очень удивила скорость , практически мгновенно строит маршрут. Даже захотелось съездить в Германию к товарищу."
"4","Стоит не дорого, а функционал неплохой. Да и выглядит прилично. Советую!"
"3","В солнечную погоду дисплей плохо видно. Сенсор может срабатывать несразу, иногда нужно ""додавливать"" повторно. Мой предыдущий китайский нонэйм в этом плане был получше"
"4","купила себе такой весной в розетке. сам навигатор в принципе неплохой, ездили с ним в Крым на отдых дорогу ведет хорошо но есть претензии к картам и фирме Либелле т.к , в августе навигатор выдал, что срок пробной версии истек обратитесь в сервис центр, чтоб купить продление, (и все спутники выключились после этого сообщения)"
"1","Сам навигатор неплохой, но карты Либелле это просто ужас. Очень неудобные а обновление -это что-то нужно идти в институт учиться на программера, чтобы разобраться"
"4","+1"
"3","Купил сей апарат и сразу же возникла проблема с присоской в комплекте - она не держала навигатор на стекле и 10 секунд. Сильно не понравилось что нет кнопки ""найти себя на карте"". Долго ловит сигнал ГПС."
"5","Крайне был удивлен когда открыл коробку, думал не тот аппарат положили в коробку!, таки нет - оказалось что на тут устаревшая картинка, сейчас он выглядит по другому (смотрите на офф. сайте), чем то на айфон похож немного совсем. Выглядит куда крче тех денег, что за него просят. Так что спешите приобрести. Ах да! - работает замечательно. ROZETKA: Добрый день! Фото заменили."
"5","Хорошее и бюджетное решение в вопросе навигации. Простой, без особых наворотов, но дело свое знает и по дорогам водит хорошо. Мне больше ничего и не нужно, я более чем доволен покупкой."
"5","Простой, удобный, не сложный в освоении. В салон моего Opel Vectra вписался, как родной! отличная рабочая лошадка. По поводу навигации - по городу езжу без проблем, за город пока с ним не выезжал, но думаю что всё будет норм! Рекомендую!"
"5","Качественно сделан, ну и приятный на вид. По картам только плюсы тоже. хороший gps."
"5","Всем привет, хотел поделится впечатлением: первое что понравилось - качественные элементы комплектации, обычно это не так у других. карты просто удивили своей подробностью - там например на дом нажимаешь и видишь когда он построен, имхо прикольно. ну еще много всяких плюшек, если будут вопросы пишите."
"3","Тестирую эту модель один месяц по киеву. Разочарован. Еще раз убедился, что Китай все таки делает лучше, чем Малайзия.Могу охарактеризовать этот продукт так :""Нада знать город! Приедешь на нужную улицу, а дом я тебе покажу!"" Подробнее в минусах. 1. Корпус прочный, но о красоте никто не подумал. 2.Аккумулятор держит неболее 30 минут ( факт ) 3.Карта на состояние март-апрель 2012г.(дороги и развязки). Плюсы: 1. Быстрордействие. 2. Спутники ловит мгновенно. 3. Очень неплохая карта Киева ( хотя есть еще над чем поработать). Минусы: Экран. Днем в солнечную погоду можете сей аппарат даже невключать, всеравно ничего на экране не увидите, контрастность/яркость экрана полный НУЛЬ. 2. Скин карты. Днем одно сплошное бело-желтое пятно, ночью пятно становится серо-зеленым, но уже можно хоть что то увидеть. Путь маршрута показывает светло-зеленой полосой по зеленым дорогам. ( Приглядевшись и сильно напрягши глаза маршрут все таки можно увидеть. 3. Нет блютуза ( огромный минус ). 4. Одна из трех игр на иероглифах ( что говорит что сборка всетаки Малазийская, а не Украинская). 5.Крепление. Любителей перелетать лежачих полицейских и ямы ждет сюрприз ввиде навигатора скачущего по торпеде в сторону пола и педалей. 6.Нет чехла и зарядки от розетки. Пока вроде все. Найду еще что то, напишу."
"5","Очень понравилось новое ПО ,которое на нём установлено. А особенно , то , что с ним идёт подробная карта Украины в комплекте. А остальные можно по желанию добавлять бесплатно."
"4","Hd оно и в Африке HD, c таким экраном конкуренты могут только облизываться !)"
"4","HD оно и в африке HD, так что делайте выводы. Я доволен."
