"1","Пожалів про покупку одразу після початку використання. Я був в шоці від того, що у 2017 рокі ще можна зустріти настільки устарівше сенсорне управління і неякісний екран. Таке враження, ніби користуюсь старим телефонов зразку 2006-2007 року. Користуватись інтуітивно важко. Все дуже неочевидно, розібратись - важко. Встановлення карт - страшна мука. Вони всюди устарілі, шукаються важко і не зрозуміло. ТАке враження, що розробники системи давно уже на неї забили. Супутники шукає дуже погано і дуе довго. Маршрут будує не оптимально. Повернув товар. Дякую Розетці за гарний сервіс. 1 із 5"
"1","купил навигатор больший екран все дела пользавался палманом50B намного лучше чем 70B не знаю кому как попался но сразу бил брак ловит мало спутников и стрелка указательная скакала в разние сторони указавая не правильний путь. Решил купить подороже Garmin и не пожалел шустрее и бистрее больше обновлений по картам всех стран ЕС"
"1","Перші супутники ловить через 30 хв. Поки не рушиш на машині - буде показувати, що ти десь на донбасі. Після рушіння показувало, що я їду десь у дворах, а не на траси. хоча голосом вказувало правильно. Головняк першого запуску - треба читати мануал, щоб взагалі знайти де в навігаторі навігація. Жахливий дисплей - на сонці нічого не видно. Без сонця в машині під кутом не 90 градусів колори зникають. Жахливий тачскрін. Девайс не розпізнається як флешка і внутрішня память на різних компьютерах. Сам девайс туже тормозить. Не купуйте"
"1","Пожалів про покупку одразу після початку використання. Я був в шоці від того, що у 2017 рокі ще можна зустріти настільки устарівше сенсорне управління і неякісний екран. Таке враження, ніби користуюсь старим телефонов зразку 2006-2007 року. Користуватись інтуітивно важко. Все дуже неочевидно, розібратись - важко. Встановлення карт - страшна мука. Вони всюди устарілі, шукаються важко і не зрозуміло. ТАке враження, що розробники системи давно уже на неї забили. Супутники шукає дуже погано і дуе довго. Маршрут будує не оптимально. Повернув товар. Дякую Розетці за гарний сервіс. 1 із 5"
"1","купил навигатор больший екран все дела пользавался палманом50B намного лучше чем 70B не знаю кому как попался но сразу бил брак ловит мало спутников и стрелка указательная скакала в разние сторони указавая не правильний путь. Решил купить подороже Garmin и не пожалел шустрее и бистрее больше обновлений по картам всех стран ЕС"
"1","Перші супутники ловить через 30 хв. Поки не рушиш на машині - буде показувати, що ти десь на донбасі. Після рушіння показувало, що я їду десь у дворах, а не на траси. хоча голосом вказувало правильно. Головняк першого запуску - треба читати мануал, щоб взагалі знайти де в навігаторі навігація. Жахливий дисплей - на сонці нічого не видно. Без сонця в машині під кутом не 90 градусів колори зникають. Жахливий тачскрін. Девайс не розпізнається як флешка і внутрішня память на різних компьютерах. Сам девайс туже тормозить. Не купуйте"
"5","В аппарате есть все необходимые функции, да и выглядит он солидно, но при этом органично вписывается в салон. Короче всё устроило, вопросов нет."
"5","Навик - бомба, показывает короткий путь, голосом подсказывает очень вовремя, заранее предупреждает когда поворот, так чтобы ты успел перестроиться в другую полосу. Единственное что - жаль что нет интернета, но в принципе для этого есть смартфон, а по самой навигации тут всё отлично."
"5","Поставил в машину, настроил, разобрался как пользоваться картами и всё, поехал. Очень удобно, теперь голосом подсказывает куда ехать, что сильно помогает заранее перестроиться в нужный ряд. Вещь!"
"5","Купил, посмотрел-поклацал-покатался, полностью удовлетворен покупкой, ибо разобраться не сложно, а дело свое гаджет знает. Дорогу показывает, приятным голосом подсказывает. С ориентированием на местности теперь проблем никаких."
"5","Практически всё что нужно в этом навигаторе есть, но отдельной уважухи заслуживает дисплей. Он с хорошим разрешением, яркий, и выглядит просто отлично."
"5","Всё начиная от крепления и корпуса и заканчивая самой навигацией продумано и удобно для водителя. Разобраться можно за 20-30 минут, поэтому покупкой я доволен, сейчас пользуюсь им во всю. Пока не подводит."
"5","Простой в управлении и качественный по навигации, так что это то что мне нужно. В работе пока неделю, но думаю, что мы сработаемся."
"5","Продуманные карты плюс большой и сочный дисплей - реально классный тандем, довольна."
"5","Очень классный навигатор!Прост в управлении и недорогой. Частенько использую как планшет"
"4","проїхав турне по Україні - 1700 км - жодних зауважень, все чітко, постійно доставляв до пункту призначення."
"3","Украли из авто неделю назад эту вещицу. Я даже рад, если честно, т.к. этот девайс -- жуткий тормоз."
"5","Працює відмінно"
"5","Огромный функционал и отличное качество! Люди с большими руками оценят его дисплей. Сам аппаратработает быстро, очень нравится навигация от Libelle - все на высоте!"
"5","Хорошее оформление и материалы сборки, большой дисплей. Радует набор дополнительных функций - покупал навигатор, а получил мультимедийный центр! Советую!"
"4","В целом доволен, для трассы идеальная вещь. НО! побольше бы памяти или процессор побыстрее. В незнакомом большом городе НЕВОЗМОЖНО ехать. Пока ""Наташа"" соизволит сказать ""поверните там-то и там-то"", я уже поворот пропустил. Это повторялось десятки раз. В результате я заблудился в Бухаресте. Потерял 1 час."
"5","Был счастливым обладателем данного устройства. Но не долго, украли. Купил Nexus 7 и снова залил туда карты Либель. Вот в Нексусе навигация действительно ""летает""!! 1гб оперативы это вам не 128мб:)"
"4","В принципе соотношение цена-качество нормальное. Libelle не впечатлил, на сельской местности он как ребенок в лесу, сразу поставил Navitel."
"5","Ранее пользовался навигатором этой же марки только поменьше размером, к сожалению продал вместе со старым авто. Этот конечно - огромный шаг вперед по сравнению с остальными. Работать одно удовольствие, да и карты очень подробные, насыщены точками POI. Откровенно порадовал."
"5","С таким вокруг света не страшно путешествовать."
"5","10 лет ездил без навигатора, и еще проездил бы, но друзья засоветовали. Купил, в принципе ниче так. Пути знает не хуже меня, но в темное время суток все таки выручает, подсказывает отлично. Всем водителям рекомендую, причем независимо от стажа вождения."
