"4","Пользуюсь с 2012 года,был Крым и Рим и Львов,не подвел..."
"4","Скажите пожалуйста, показывает ли навигатор пробки, показывает ли пути объезда? Каким образом обновляются карты если нет вайфая?"
"5","Вполне достойный навигатор. Понравилась сборка и точночть навигации, карты тоже подробные. Нареканий нет. Другое дело что тут несколько ограниченые функциональные возможности, но для себя покупал его чисто как навигатор, поэтому очень доволен. Как навигатор гаджет суперский!"
"4","Пользуюсь с 2012 года,был Крым и Рим и Львов,не подвел..."
"4","Скажите пожалуйста, показывает ли навигатор пробки, показывает ли пути объезда? Каким образом обновляются карты если нет вайфая?"
"5","Вполне достойный навигатор. Понравилась сборка и точночть навигации, карты тоже подробные. Нареканий нет. Другое дело что тут несколько ограниченые функциональные возможности, но для себя покупал его чисто как навигатор, поэтому очень доволен. Как навигатор гаджет суперский!"
"3","Кріплення, що в комплекті, ненадійне. Через 2-3 місяці корпус від напруги прогнувся і хід присоски зменшився. Прийшлось включити мізки щоб удосконалити."
"4","Для своєї ціни нормальний навігатор,а от з карти треба трішки допрацювати"
"5","хорошая компактная вещь, отличній дизайн, подаркополучатель доволен как слон"
"4","Купил перед поездкой на море, так как первый навигатор у меня , то доехал сразу в точку назначения . + показывает ограничения скорости по дорогам-участкам, после можно просмотреть среднюю и максимальную скорость , остановки и т.д. пока доволен."
"4","Навигацией в целом доволен. Долго правда разбирался как устанавливаются карты, как он вообще работает - но когда разобрался остался в целом доволен. Карты очень подробные, гибкая настройка."
"4","Купив спеціально для поїздок за кордон. як виявилося жодних карт світу небуло у навігаторі. скачати і поставити з самого сайту Лібель не допомагало, карти не відкривались. думав повертати товар, але після дня танців з бубнами довелося звернутися в підтримку лібель, які скинули нову версію програми (!про яку на сайті чомусь ніде немає навіть згадки). а так то до моделі поки що претензій немає."
"2","зачем позиционировать эту модель с картами всего мира, если этих карт на навигаторе нет, а скачанные с оф.сайта Либель не работают???"
"5","Был у меня этот аппарат с пол года,мелкие недостатки никак не затмят его достоинства и цену и качество.Жаль-потерял."
"5","Купив цей навігатор- цілком задоволений"
"3","карти світу там немає"
"5","Еще пару лет назад и представить себен не мог, что находясь в автомобиле, буду налюдать за собой на карте-схеме города. Приятно выглядит хоть и не относится к дорогому сегменту, при этом не так главное снаружи как внутри, - все очень лаконично подобрано, интуитивно понятно я бы сказал."
"4","В целом своих денег стОит. Удобная зарядка, хороший акку, работает быстро. Очень удобный, простой, а главное быстрый интерфейс. Либель неплоха, но Навител намного лучше."
"5","Выбирал чтоб попроще, так как денег не особо, но чтоб с гарантией нормальной и качество не аля-пионер."
"5","Красивый корпус - эт первое что в глаза бросается, когда из коробки достаешь. Неплохой экран как для такой простой недорогой модели. Запускается красиво - нужно видеть! После первого пуска нашел меня практически за сек 40 - что я является отличнейшим показателем, насколько мне известно. По картам вопросов нет - travel GPS - сила!"
"5","C либелем ездию уже несколько недель, что по городу, что за, отлично покзывает все что необходимо. Удобный поиск сделали там например по объектам. Суперская штука!"
"5","Если проверять чисто по картам, то libelle на высоте. И навигатор с этими картами пошустрее работает."
"5","Удачно приобрела, как раз к сезону осенних отпусков. Хорошо знает Павлоград например и все лесопосадки !))"
"3","Прибор получил в подарок. Были сложности с меню, но разобрался. Как трансмиттер никуда не годен. Качество звука неважное. Как навигатор нормально. Карта Украины неплоха. Маршрут в Закарпатье из Киева мне просчитывал примерно на твердую четверку."
"5","Конечно не ожидал, что модель начального уровня будет настолько продумана, и дело не только в корпусе или по, а в том как одно дополняет другое. Libelle как будто создан под этот нави, все добно просчитано, ненужно никуда тянуться чтоб нажать, все элементы под рукой, диагональ экрана в самы раз. Звук хороший. Антилик есть. Что еще нужно?)"
"5","Получил в качестве подарка. Спасибо за достойный аппарат, сразу все получилось, без вопросов обновился до последней версии Libelle, точек интереса много, все удобно сделано."
"5","Спасибо! Очень доволен. На что расчитывал, еще даже лучше."
"4","Libelle дал повод задуматься о действительно качественном продукте."
"4","Нужен был обычный навигатор. А за те же деньги получил мегамультимедиа девайс. Сразу хотел туда фильмов закинуть.Потом как залез в игрушки, так в шахматы до ночи и играл. Ещё знакомый сказал, что можно добавлять POI (достопримечательности). Клёвая штука оказалось."
"4","Брал специально под поездки по Украине. Крым , Западная Украина и т. п.Ради интереса вечером решил поиграться с маршрутами по Германии. А у меня там знакомый живёт. Очень удивила скорость , практически мгновенно строит маршрут. Даже захотелось съездить в Германию к товарищу."
"5","Tenex купил недавно, неплох. Пробовал ставить разные программы тип navitel, автоспутник, ситигид - мой выбор libel так как подробнее карт не нашел, да и скорость работы отменная, перепрокладка маршрута из киева во львов всего за 0,5сек, как вам ?))"
"5","Экран выше всяческих похвал! Функциональность на самом высоком уровне. Очень тонкий и легкий. Батарея держит долго. Очень быстро загружается. Отлично ловит пробки и дает маршруты объезда. Отличная навигация по полосам дороги. Голосовое управление выше всяческих похвал! Просто Супер!"
