"4","Навигатор приобретен в марте 2016г. для поездки в Киев. Карты, установленные в навигаторе, датированы 2008г. Сделал обновление через официальный сайт Libelle. На этом же сайте можно найти подробную инструкцию по использованию ПО Libelle, в комплекте навигатора хорошей инструкции нет. При следовании по проложенному маршруту хорошо работают голосовые подсказки. При прохождении через пересечения магистралей ( перекрестки ) может временно на несколько секунд дать сбой маршрута либо указать альтернативное направление. В целом навигатор хороший и стоит своей цены."
"5","Удобный в использовании"
"5","Есть блютуз, есть навигация, причем очень даже неплохая. Карты предустановлены, морочиться не надо. Включил - поймал спутники - поехал."
"1","дуже глючний переплатіть і візьміть, щось краще(("
"4","Навигатор приобретен в марте 2016г. для поездки в Киев. Карты, установленные в навигаторе, датированы 2008г. Сделал обновление через официальный сайт Libelle. На этом же сайте можно найти подробную инструкцию по использованию ПО Libelle, в комплекте навигатора хорошей инструкции нет. При следовании по проложенному маршруту хорошо работают голосовые подсказки. При прохождении через пересечения магистралей ( перекрестки ) может временно на несколько секунд дать сбой маршрута либо указать альтернативное направление. В целом навигатор хороший и стоит своей цены."
"5","Удобный в использовании"
"5","Есть блютуз, есть навигация, причем очень даже неплохая. Карты предустановлены, морочиться не надо. Включил - поймал спутники - поехал."
"1","дуже глючний переплатіть і візьміть, щось краще(("
"5","Брал тестю на подарок - попросил передать что аппарат толковый и не сложный для любого человека. Даже сам смог обновить программу и карты, правда с помощью производителя. Так что советую!"
"5","Классная штука, отличный выбор цена/качество. Собран на совесть, работает шустро! Очень доволен выбором!"
"5","классный советую"
"5","Посоветую всем! классный gps!"
"5","Если бы не этот навигатор, не писать бы мне сейчас отзыв. Спасибо тебе дорогой."
"5","Дабы не быть многословным скажу только что продукт получился достойный."
"5","Меня как человека знающего навигаторы (торговал одно время) удовлетворил по всем критериям, и оснащенность, и качество исполнения, и сама навигационная прога - все держится высокой планки. Безпроблемный."
"4","Понравилось исполнение меню, да и сама навигация работает отлично."
"5","Очень уверен в себе когда едешь в паре с этим штурманом. Хорошо сделано голосовое оформление. Кстати по львову вообще даже про каждое здание что то может написать, если на пиктограммку нажать. - прикольно."
"5","Маленький , эргономичный.Быстро реагирует на прикосновения.Практически за столь символичную сумму , получаешь себе в машину бортовой компьютер со всеми радостями. И фильмы, и фото, и радио, и музыка.Супер!"
